,name,currency_code,local_price,dollar_ex,date
183,Malaysia,MYR,5.25,3.8,2005-06-01
184,Norway,NOK,39.0,6.4326,2005-06-01
185,New Zealand,NZD,4.45,1.4023,2005-06-01
186,Pakistan,PKR,130.0,59.62,2005-06-01
187,Peru,PEN,8.99,3.2546,2005-06-01
188,Philippines,PHP,80.0,54.55,2005-06-01
189,Poland,PLN,6.5,3.3096,2005-06-01
190,Russia,RUB,42.0,28.4055,2005-06-01
191,Saudi Arabia,SAR,9.0,3.7501,2005-06-01
192,Singapore,SGD,3.6,1.6607,2005-06-01
193,Sweden,SEK,31.0,7.4402,2005-06-01
194,Thailand,THB,60.0,40.53,2005-06-01
195,Turkey,TRY,4.0,1.369,2005-06-01
196,Taiwan,TWD,75.0,31.175,2005-06-01
197,Ukraine,UAH,7.25,5.06,2005-06-01
198,Uruguay,UYU,44.0,24.125,2005-06-01
199,United States,USD,2.58,1.0,2005-06-01
200,Venezuela,VEF,5600.0,2629.62,2005-06-01
201,South Africa,ZAR,13.95,6.6482,2005-06-01
202,Argentina,ARS,4.75,3.0638,2006-01-01
203,Australia,AUD,3.25,1.3308,2006-01-01
204,Brazil,BRL,6.2,2.2615,2006-01-01
205,Canada,CAD,3.52,1.1704,2006-01-01
206,Switzerland,CHF,6.3,1.2776,2006-01-01
207,Chile,CLP,1560.0,522.75,2006-01-01
208,China,CNY,10.5,8.0641,2006-01-01
209,Czech Republic,CZK,62.0,23.8375,2006-01-01
210,Denmark,DKK,27.75,6.1769,2006-01-01
211,Egypt,EGP,9.25,5.74,2006-01-01
212,Euro area,EUR,2.91,0.82815735,2006-01-01
213,Britain,GBP,1.88,0.566925563,2006-01-01
214,Hong Kong,HKD,12.0,7.7512,2006-01-01
215,Hungary,HUF,560.0,206.956,2006-01-01
216,Indonesia,IDR,14600.0,9460.0,2006-01-01
217,Japan,JPY,250.0,114.305,2006-01-01
218,South Korea,KRW,2500.0,977.45,2006-01-01
219,Mexico,MXN,28.0,10.5425,2006-01-01
220,Malaysia,MYR,5.5,3.7488,2006-01-01
221,New Zealand,NZD,4.45,1.4467,2006-01-01
222,Peru,PEN,9.5,3.446,2006-01-01
223,Philippines,PHP,82.0,52.58,2006-01-01
224,Poland,PLN,6.5,3.1151,2006-01-01
225,Russia,RUB,46.0,28.67,2006-01-01
226,Singapore,SGD,3.6,1.6353,2006-01-01
227,Sweden,SEK,33.0,7.7119,2006-01-01
228,Thailand,THB,60.0,39.755,2006-01-01
229,Turkey,TRY,4.1,1.3365,2006-01-01
230,Taiwan,TWD,75.0,31.9495,2006-01-01
231,United States,USD,2.67,1.0,2006-01-01
232,Venezuela,VEF,5900.0,2615.92,2006-01-01
233,South Africa,ZAR,13.95,6.0803,2006-01-01
234,UAE,AED,9.0,3.6726,2006-05-01
235,Argentina,ARS,7.0,3.0565,2006-05-01
236,Australia,AUD,3.25,1.33253,2006-05-01
237,Brazil,BRL,6.4,2.3045,2006-05-01
238,Canada,CAD,3.52,1.12045,2006-05-01
239,Switzerland,CHF,6.3,1.20885,2006-05-01
240,Chile,CLP,1560.0,529.95,2006-05-01
241,China,CNY,10.5,8.026,2006-05-01
242,Colombia,COP,6500.0,2503.6,2006-05-01
243,Costa Rica,CRC,1130.0,509.535,2006-05-01
244,Czech Republic,CZK,59.05,22.1078,2006-05-01
245,Denmark,DKK,27.75,5.81825,2006-05-01
246,Egypt,EGP,9.5,5.77075,2006-05-01
247,Euro area,EUR,2.939573529,0.780365992,2006-05-01
248,Britain,GBP,1.94,0.531801744,2006-05-01
249,Hong Kong,HKD,12.0,7.7533,2006-05-01
250,Hungary,HUF,560.0,206.3444,2006-05-01
251,Indonesia,IDR,14600.0,9325.0,2006-05-01
252,Japan,JPY,250.0,112.105,2006-05-01
253,South Korea,KRW,2500.0,952.4,2006-05-01
254,Sri Lanka,LKR,190.0,102.955,2006-05-01
255,Mexico,MXN,29.0,11.3031,2006-05-01
256,Malaysia,MYR,5.5,3.6295,2006-05-01
257,Norway,NOK,43.0,6.1023,2006-05-01
258,New Zealand,NZD,4.45,1.62101,2006-05-01
259,Pakistan,PKR,130.0,60.055,2006-05-01
260,Peru,PEN,9.5,3.261,2006-05-01
261,Philippines,PHP,85.0,52.625,2006-05-01
262,Poland,PLN,6.5,3.09915,2006-05-01
263,Russia,RUB,48.0,27.06375,2006-05-01
264,Saudi Arabia,SAR,9.0,3.749,2006-05-01
265,Singapore,SGD,3.6,1.5873,2006-05-01
266,Sweden,SEK,33.0,7.28455,2006-05-01
267,Thailand,THB,60.0,38.445,2006-05-01
268,Turkey,TRY,4.2,1.5415,2006-05-01
269,Taiwan,TWD,75.0,32.141,2006-05-01
270,Ukraine,UAH,8.5,5.05,2006-05-01
271,Uruguay,UYU,42.28,23.925,2006-05-01
272,United States,USD,2.78,1.0,2006-05-01
273,Venezuela,VEF,5701.25,2519.58,2006-05-01
274,South Africa,ZAR,13.95,6.597,2006-05-01
275,UAE,AED,10.0,3.6726,2007-01-01
276,Argentina,ARS,8.25,3.08875,2007-01-01
277,Australia,AUD,3.45,1.266865,2007-01-01
278,Brazil,BRL,6.4,2.1335,2007-01-01
279,Canada,CAD,3.63,1.17485,2007-01-01
280,Switzerland,CHF,6.3,1.2485,2007-01-01
281,Chile,CLP,1670.0,540.15,2007-01-01
282,China,CNY,11.0,7.7743,2007-01-01
283,Colombia,COP,6900.0,2239.325,2007-01-01
284,Costa Rica,CRC,1130.0,509.535,2007-01-01
285,Czech Republic,CZK,52.1,21.50115,2007-01-01
286,Denmark,DKK,27.75,5.75305,2007-01-01
287,Egypt,EGP,9.09,5.7,2007-01-01
288,Euro area,EUR,2.94,0.771813376,2007-01-01
289,Britain,GBP,1.94,0.506034461,2007-01-01
290,Hong Kong,HKD,12.0,7.79845,2007-01-01
291,Hungary,HUF,590.0,194.4237,2007-01-01
292,Indonesia,IDR,15900.0,9090.0,2007-01-01
293,Japan,JPY,280.0,121.585,2007-01-01
294,South Korea,KRW,2900.0,940.15,2007-01-01
295,Sri Lanka,LKR,190.0,102.955,2007-01-01
296,Mexico,MXN,29.0,10.8894,2007-01-01
297,Malaysia,MYR,5.5,3.502,2007-01-01
298,Norway,NOK,41.5,6.1023,2007-01-01
299,New Zealand,NZD,4.6,1.42796,2007-01-01
300,Pakistan,PKR,140.0,60.055,2007-01-01
301,Peru,PEN,9.5,3.1895,2007-01-01
302,Philippines,PHP,85.0,49.05,2007-01-01
303,Poland,PLN,6.9,2.97175,2007-01-01
304,Russia,RUB,49.0,26.5335,2007-01-01
305,Saudi Arabia,SAR,9.0,3.749,2007-01-01
306,Singapore,SGD,3.6,1.53795,2007-01-01
307,Sweden,SEK,32.0,7.04125,2007-01-01
308,Thailand,THB,62.0,35.3,2007-01-01
309,Turkey,TRY,4.55,1.40975,2007-01-01
310,Taiwan,TWD,75.0,32.9255,2007-01-01
311,Ukraine,UAH,9.0,5.05,2007-01-01
312,Uruguay,UYU,55.0,23.925,2007-01-01
313,United States,USD,2.89,1.0,2007-01-01
314,Venezuela,VEF,6800.0,4125.278,2007-01-01
315,South Africa,ZAR,15.5,7.10975,2007-01-01
316,UAE,AED,10.0,3.67285,2007-06-01
317,Argentina,ARS,8.25,3.0915,2007-06-01
318,Australia,AUD,3.45,1.17,2007-06-01
319,Brazil,BRL,6.9,1.913,2007-06-01
320,Canada,CAD,3.88,1.05345,2007-06-01
321,Switzerland,CHF,6.3,1.2112,2007-06-01
322,Chile,CLP,1565.0,526.75,2007-06-01
323,China,CNY,11.0,7.6047,2007-06-01
324,Colombia,COP,6900.0,1956.0,2007-06-01
325,Costa Rica,CRC,1130.0,518.625,2007-06-01
326,Czech Republic,CZK,52.9,21.11675,2007-06-01
327,Denmark,DKK,27.75,5.4603,2007-06-01
328,Egypt,EGP,9.54,5.69025,2007-06-01
329,Euro area,EUR,3.057482443,0.733756466,2007-06-01
330,Britain,GBP,1.99,0.496610632,2007-06-01
331,Hong Kong,HKD,12.0,7.81555,2007-06-01
332,Hungary,HUF,600.0,180.2106,2007-06-01
333,Indonesia,IDR,15900.0,9015.0,2007-06-01
334,Japan,JPY,280.0,122.315,2007-06-01
335,South Korea,KRW,2900.0,922.5,2007-06-01
336,Sri Lanka,LKR,210.0,111.4,2007-06-01
337,Mexico,MXN,29.0,10.76755,2007-06-01
338,Malaysia,MYR,5.5,3.4345,2007-06-01
339,Norway,NOK,40.0,5.8139,2007-06-01
340,New Zealand,NZD,4.6,1.2797,2007-06-01
341,Pakistan,PKR,140.0,60.37,2007-06-01
342,Peru,PEN,9.5,3.167,2007-06-01
343,Philippines,PHP,85.0,45.8975,2007-06-01
344,Poland,PLN,6.9,2.75185,2007-06-01
345,Russia,RUB,52.0,25.64825,2007-06-01
346,Saudi Arabia,SAR,9.0,3.75045,2007-06-01
347,Singapore,SGD,3.95,1.52375,2007-06-01
348,Sweden,SEK,33.0,6.79165,2007-06-01
349,Thailand,THB,62.0,34.455,2007-06-01
350,Turkey,TRY,4.75,1.2981,2007-06-01
351,Taiwan,TWD,75.0,32.7705,2007-06-01
352,Ukraine,UAH,9.25,5.0275,2007-06-01
353,Uruguay,UYU,62.0,23.945,2007-06-01
354,United States,USD,3.0,1.0,2007-06-01
355,Venezuela,VEF,7400.0,2147.3,2007-06-01
356,South Africa,ZAR,15.5,6.971,2007-06-01
357,UAE,AED,10.0,3.67285,2008-06-01
358,Argentina,ARS,11.0,3.0195,2008-06-01
359,Australia,AUD,3.45,1.026,2008-06-01
360,Brazil,BRL,7.5,1.5846,2008-06-01
361,Canada,CAD,4.09,1.00355,2008-06-01
362,Switzerland,CHF,6.5,1.02215,2008-06-01
363,Chile,CLP,1550.0,494.65,2008-06-01
364,China,CNY,12.5,6.834,2008-06-01
365,Colombia,COP,7000.0,1798.65,2008-06-01
366,Costa Rica,CRC,1800.0,551.02,2008-06-01
367,Czech Republic,CZK,66.08,14.49795,2008-06-01
368,Denmark,DKK,28.0,4.7044,2008-06-01
369,Egypt,EGP,13.0,5.3125,2008-06-01
370,Euro area,EUR,3.36856,0.630497147,2008-06-01
371,Britain,GBP,2.29,0.501039657,2008-06-01
372,Hong Kong,HKD,13.3,7.7974,2008-06-01
373,Hungary,HUF,670.0,144.2578,2008-06-01
374,Indonesia,IDR,18700.0,9152.0,2008-06-01
375,Japan,JPY,280.0,106.855,2008-06-01
376,South Korea,KRW,3200.0,1018.05,2008-06-01
377,Sri Lanka,LKR,210.0,107.55,2008-06-01
378,Mexico,MXN,32.0,10.1685,2008-06-01
379,Malaysia,MYR,5.5,3.238,2008-06-01
380,Norway,NOK,40.0,5.07915,2008-06-01
381,New Zealand,NZD,4.9,1.3177,2008-06-01
382,Pakistan,PKR,140.0,70.9,2008-06-01
383,Peru,PEN,9.5,2.84,2008-06-01
384,Philippines,PHP,87.0,44.485,2008-06-01
385,Poland,PLN,7.0,2.03145,2008-06-01
386,Russia,RUB,59.0,23.2336,2008-06-01
387,Saudi Arabia,SAR,10.0,3.74955,2008-06-01
388,Singapore,SGD,3.95,1.35275,2008-06-01
389,Sweden,SEK,38.0,5.96085,2008-06-01
390,Thailand,THB,62.0,33.36,2008-06-01
391,Turkey,TRY,5.15,1.19275,2008-06-01
392,Taiwan,TWD,75.0,30.3625,2008-06-01
393,Ukraine,UAH,11.0,4.6,2008-06-01
394,Uruguay,UYU,61.0,19.15,2008-06-01
395,United States,USD,3.21,1.0,2008-06-01
396,South Africa,ZAR,16.95,7.56325,2008-06-01
397,UAE,AED,10.0,3.673,2009-07-01
398,Argentina,ARS,11.5,3.81125,2009-07-01
399,Australia,AUD,4.34,1.2869,2009-07-01
400,Brazil,BRL,8.03,1.9971,2009-07-01
401,Canada,CAD,3.89,1.16085,2009-07-01
402,Switzerland,CHF,6.5,1.08605,2009-07-01
403,Chile,CLP,1750.0,548.55,2009-07-01
404,China,CNY,12.5,6.8327,2009-07-01
405,Colombia,COP,7000.0,2095.6,2009-07-01
406,Costa Rica,CRC,2000.0,582.57,2009-07-01
407,Czech Republic,CZK,67.92,18.66155,2009-07-01
408,Denmark,DKK,29.5,5.3375,2009-07-01
409,Egypt,EGP,13.0,5.58475,2009-07-01
410,Euro area,EUR,3.31,0.716897269,2009-07-01
411,Britain,GBP,2.29,0.620886626,2009-07-01
412,Hong Kong,HKD,13.3,7.7505,2009-07-01
413,Hungary,HUF,720.0,199.1577,2009-07-01
414,Indonesia,IDR,20900.0,10200.0,2009-07-01
415,Israel,ILS,15.0,3.97425,2009-07-01
416,Japan,JPY,320.0,92.565,2009-07-01
417,South Korea,KRW,3400.0,1314.5,2009-07-01
418,Sri Lanka,LKR,210.0,114.86,2009-07-01
419,Mexico,MXN,33.0,13.8104,2009-07-01
420,Malaysia,MYR,6.77,3.602,2009-07-01
421,Norway,NOK,40.0,6.50925,2009-07-01
422,New Zealand,NZD,4.9,1.59235,2009-07-01
423,Pakistan,PKR,190.0,82.6,2009-07-01
424,Peru,PEN,8.056,3.0274,2009-07-01
425,Philippines,PHP,99.39,48.385,2009-07-01
426,Poland,PLN,7.6,3.15525,2009-07-01
427,Russia,RUB,67.0,32.7959,2009-07-01
428,Saudi Arabia,SAR,11.0,3.7504,2009-07-01
429,Singapore,SGD,4.22,1.4645,2009-07-01
430,Sweden,SEK,39.0,7.90915,2009-07-01
431,Thailand,THB,64.49,34.165,2009-07-01
432,Turkey,TRY,5.65,1.55005,2009-07-01
433,Taiwan,TWD,75.0,33.1755,2009-07-01
434,Ukraine,UAH,14.0,7.66,2009-07-01
435,Uruguay,UYU,61.0,23.17,2009-07-01
436,United States,USD,3.43,1.0,2009-07-01
437,South Africa,ZAR,17.95,8.2805,2009-07-01
438,UAE,AED,11.0,3.673,2010-01-01
439,Argentina,ARS,7.0,3.7985,2010-01-01
440,Australia,AUD,4.35,1.09355,2010-01-01
441,Brazil,BRL,8.2,1.7233,2010-01-01
442,Canada,CAD,4.12,1.0368,2010-01-01
443,Switzerland,CHF,6.5,1.03115,2010-01-01
444,Chile,CLP,1600.0,503.1,2010-01-01
445,China,CNY,12.5,6.8272,2010-01-01
446,Colombia,COP,8200.0,2095.6,2010-01-01
447,Costa Rica,CRC,2050.0,582.57,2010-01-01
448,Czech Republic,CZK,67.64,18.21005,2010-01-01
449,Denmark,DKK,30.94,5.16195,2010-01-01
450,Egypt,EGP,13.0,5.465,2010-01-01
451,Euro area,EUR,3.36,0.693649638,2010-01-01
452,Britain,GBP,2.29,0.623752495,2010-01-01
453,Hong Kong,HKD,14.8,7.75655,2010-01-01
454,Hungary,HUF,720.0,186.6508,2010-01-01
455,Indonesia,IDR,20900.0,9320.0,2010-01-01
456,Israel,ILS,14.9,3.7325,2010-01-01
457,Japan,JPY,320.0,91.54,2010-01-01
458,South Korea,KRW,3400.0,1140.5,2010-01-01
459,Sri Lanka,LKR,210.0,114.86,2010-01-01
460,Mexico,MXN,32.0,12.81375,2010-01-01
461,Malaysia,MYR,7.05,3.3875,2010-01-01
462,Norway,NOK,40.0,5.69555,2010-01-01
463,New Zealand,NZD,4.9,1.35685,2010-01-01
464,Pakistan,PKR,200.0,82.6,2010-01-01
465,Peru,PEN,8.056,2.8705,2010-01-01
466,Philippines,PHP,101.52,45.92,2010-01-01
467,Poland,PLN,8.1,2.83565,2010-01-01
468,Russia,RUB,70.0,29.927,2010-01-01
469,Saudi Arabia,SAR,10.0,3.7502,2010-01-01
470,Singapore,SGD,4.45,1.39555,2010-01-01
471,Sweden,SEK,39.0,7.0821,2010-01-01
472,Thailand,THB,70.0,33.135,2010-01-01
473,Turkey,TRY,5.65,1.47455,2010-01-01
474,Taiwan,TWD,75.0,31.8425,2010-01-01
475,Ukraine,UAH,14.0,7.66,2010-01-01
476,Uruguay,UYU,77.0,23.17,2010-01-01
477,United States,USD,3.43,1.0,2010-01-01
478,South Africa,ZAR,17.95,7.3045,2010-01-01
479,UAE,AED,11.0,3.67285,2010-07-01
480,Argentina,ARS,14.0,3.93375,2010-07-01
481,Australia,AUD,4.35,1.133722578,2010-07-01
482,Brazil,BRL,8.71,1.77495,2010-07-01
483,Canada,CAD,4.17,1.04235,2010-07-01
484,Switzerland,CHF,6.5,1.05085,2010-07-01
485,Chile,CLP,1750.0,523.65,2010-07-01
486,China,CNY,13.2,6.7769,2010-07-01
487,Colombia,COP,8200.0,1868.45,2010-07-01
488,Costa Rica,CRC,2000.0,522.115,2010-07-01
489,Czech Republic,CZK,67.64,19.7476,2010-07-01
490,Denmark,DKK,28.5,5.81365,2010-07-01
491,Egypt,EGP,13.0,5.699,2010-07-01
492,Euro area,EUR,3.380031071,0.78015291,2010-07-01
493,Britain,GBP,2.29,0.657375756,2010-07-01
494,Hong Kong,HKD,14.8,7.7742,2010-07-01
495,Hungary,HUF,740.0,221.96915,2010-07-01
496,Indonesia,IDR,22780.0,9063.0,2010-07-01
497,Israel,ILS,14.9,3.8619,2010-07-01
498,Japan,JPY,320.0,87.18,2010-07-01
499,South Korea,KRW,3400.0,1204.45,2010-07-01
500,Sri Lanka,LKR,210.0,112.775,2010-07-01
501,Mexico,MXN,32.0,12.782,2010-07-01
502,Malaysia,MYR,7.05,3.2135,2010-07-01
503,Norway,NOK,45.0,6.24625,2010-07-01
504,New Zealand,NZD,5.0,1.39275766,2010-07-01
505,Pakistan,PKR,210.0,85.525,2010-07-01
506,Peru,PEN,10.0,2.8275,2010-07-01
507,Philippines,PHP,102.0,46.47,2010-07-01
508,Poland,PLN,8.3,3.1969,2010-07-01
509,Russia,RUB,71.0,30.44325,2010-07-01
510,Saudi Arabia,SAR,10.0,3.75045,2010-07-01
511,Singapore,SGD,4.23,1.3742,2010-07-01
512,Sweden,SEK,48.4,7.37355,2010-07-01
513,Thailand,THB,70.0,32.305,2010-07-01
514,Turkey,TRY,5.95,1.5293,2010-07-01
515,Taiwan,TWD,75.0,32.1055,2010-07-01
516,Ukraine,UAH,14.5,7.899,2010-07-01
517,Uruguay,UYU,79.0,21.1,2010-07-01
518,United States,USD,3.53,1.0,2010-07-01
519,South Africa,ZAR,18.45,7.5365,2010-07-01
520,UAE,AED,12.0,3.67305,2011-07-01
